Home Team,Away Team,Winner,Home Win
Kansas City Royals,Toronto Blue Jays,Kansas City Royals,True
Minnesota Twins,Cleveland Guardians,Minnesota Twins,True
Chicago White Sox,San Diego Padres,San Diego Padres,False
St. Louis Cardinals,Milwaukee Brewers,Milwaukee Brewers,False
Texas Rangers,Miami Marlins,Miami Marlins,False
Colorado Rockies,Los Angeles Angels,Los Angeles Angels,False
Los Angeles Dodgers,San Francisco Giants,Los Angeles Dodgers,True
Arizona Diamondbacks,Philadelphia Phillies,Philadelphia Phillies,False
Tampa Bay Rays,Boston Red Sox,Tampa Bay Rays,True
Atlanta Braves,Washington Nationals,Atlanta Braves,True
San Diego Padres,Milwaukee Brewers,San Diego Padres,True
San Francisco Giants,St. Louis Cardinals,San Francisco Giants,True
Baltimore Orioles,Tampa Bay Rays,Baltimore Orioles,True
Cleveland Guardians,Detroit Tigers,Cleveland Guardians,True
Cincinnati Reds,Pittsburgh Pirates,Pittsburgh Pirates,False
Philadelphia Phillies,Miami Marlins,Philadelphia Phillies,True
New York Yankees,Chicago White Sox,New York Yankees,True
Toronto Blue Jays,Boston Red Sox,Boston Red Sox,False
Atlanta Braves,Washington Nationals,Washington Nationals,False
Chicago Cubs,New York Mets,Chicago Cubs,True
Texas Rangers,Minnesota Twins,Texas Rangers,True
Los Angeles Angels,Kansas City Royals,Los Angeles Angels,True
Arizona Diamondbacks,Los Angeles Dodgers,Arizona Diamondbacks,True
Seattle Mariners,Colorado Rockies,Seattle Mariners,True
San Diego Padres,Milwaukee Brewers,Milwaukee Brewers,False
San Francisco Giants,St. Louis Cardinals,San Francisco Giants,True
Athletics,Houston Astros,Houston Astros,False
Atlanta Braves,Washington Nationals,Atlanta Braves,True
San Diego Padres,Milwaukee Brewers,San Diego Padres,True
Baltimore Orioles,Tampa Bay Rays,Tampa Bay Rays,False
Cleveland Guardians,Detroit Tigers,Cleveland Guardians,True
Cincinnati Reds,Pittsburgh Pirates,Pittsburgh Pirates,False
Philadelphia Phillies,Miami Marlins,Miami Marlins,False
New York Yankees,Chicago White Sox,New York Yankees,True
Toronto Blue Jays,Boston Red Sox,Toronto Blue Jays,True
Chicago Cubs,New York Mets,Chicago Cubs,True
Texas Rangers,Minnesota Twins,Texas Rangers,True
Los Angeles Angels,Kansas City Royals,Los Angeles Angels,True
Arizona Diamondbacks,Los Angeles Dodgers,Los Angeles Dodgers,False
Seattle Mariners,Colorado Rockies,Seattle Mariners,True
San Francisco Giants,St. Louis Cardinals,San Francisco Giants,True
Athletics,Houston Astros,Athletics,True
Cincinnati Reds,Pittsburgh Pirates,Cincinnati Reds,True
Baltimore Orioles,Tampa Bay Rays,Tampa Bay Rays,False
Texas Rangers,Minnesota Twins,Texas Rangers,True
Athletics,Houston Astros,Houston Astros,False
Arizona Diamondbacks,Los Angeles Dodgers,Los Angeles Dodgers,False
Philadelphia Phillies,Miami Marlins,Miami Marlins,False
Cleveland Guardians,Detroit Tigers,Detroit Tigers,False
New York Yankees,Chicago White Sox,New York Yankees,True
Toronto Blue Jays,Boston Red Sox,Boston Red Sox,False
Chicago Cubs,New York Mets,Chicago Cubs,True
Los Angeles Angels,Kansas City Royals,Los Angeles Angels,True
Seattle Mariners,Colorado Rockies,Seattle Mariners,True
Chicago Cubs,St. Louis Cardinals,Chicago Cubs,True
Philadelphia Phillies,Minnesota Twins,Philadelphia Phillies,True
Washington Nationals,Chicago White Sox,Washington Nationals,True
New York Yankees,Baltimore Orioles,New York Yankees,True
Toronto Blue Jays,Tampa Bay Rays,Toronto Blue Jays,True
Boston Red Sox,Detroit Tigers,Detroit Tigers,False
Cleveland Guardians,Texas Rangers,Cleveland Guardians,True
Miami Marlins,New York Mets,New York Mets,False
Atlanta Braves,Pittsburgh Pirates,Pittsburgh Pirates,False
Milwaukee Brewers,Cincinnati Reds,Milwaukee Brewers,True
Los Angeles Angels,Houston Astros,Houston Astros,False
San Diego Padres,Arizona Diamondbacks,Arizona Diamondbacks,False
Seattle Mariners,Los Angeles Dodgers,Los Angeles Dodgers,False
Athletics,Kansas City Royals,Kansas City Royals,False
San Francisco Giants,Colorado Rockies,Colorado Rockies,False
New York Yankees,Baltimore Orioles,New York Yankees,True
Chicago Cubs,St. Louis Cardinals,Chicago Cubs,True
Toronto Blue Jays,Tampa Bay Rays,Tampa Bay Rays,False
San Francisco Giants,Colorado Rockies,San Francisco Giants,True
Washington Nationals,Chicago White Sox,Washington Nationals,True
Boston Red Sox,Detroit Tigers,Boston Red Sox,True
Miami Marlins,New York Mets,New York Mets,False
Philadelphia Phillies,Minnesota Twins,Minnesota Twins,False
Cleveland Guardians,Texas Rangers,Cleveland Guardians,True
Milwaukee Brewers,Cincinnati Reds,Milwaukee Brewers,True
Atlanta Braves,Pittsburgh Pirates,Pittsburgh Pirates,False
San Diego Padres,Arizona Diamondbacks,San Diego Padres,True
Los Angeles Angels,Houston Astros,Los Angeles Angels,True
Seattle Mariners,Los Angeles Dodgers,Seattle Mariners,True
Athletics,Kansas City Royals,Athletics,True
Boston Red Sox,Detroit Tigers,Boston Red Sox,True
Athletics,Kansas City Royals,Athletics,True
San Francisco Giants,Colorado Rockies,San Francisco Giants,True
Philadelphia Phillies,Minnesota Twins,Philadelphia Phillies,True
Washington Nationals,Chicago White Sox,Washington Nationals,True
New York Yankees,Baltimore Orioles,New York Yankees,True
Los Angeles Angels,Houston Astros,Houston Astros,False
Toronto Blue Jays,Tampa Bay Rays,Toronto Blue Jays,True
San Diego Padres,Arizona Diamondbacks,San Diego Padres,True
Seattle Mariners,Los Angeles Dodgers,Los Angeles Dodgers,False
Cleveland Guardians,Texas Rangers,Texas Rangers,False
Miami Marlins,New York Mets,New York Mets,False
Milwaukee Brewers,Cincinnati Reds,Milwaukee Brewers,True
Atlanta Braves,Pittsburgh Pirates,Atlanta Braves,True
Chicago Cubs,St. Louis Cardinals,Chicago Cubs,True
